timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label,orientation
85,1255,1,20150104,20170101,0,0,0,0,0,0,1,St. Andrews,Effective beginning 1-4-15,Inbound,horizontal
86,1255,1,20150104,20170101,1,1,1,1,1,0,0,St. Andrews,Effective beginning 1-4-15,Inbound,horizontal
87,1237,0,20150104,20170101,0,0,0,0,0,0,1,Upper Dorchester-Ashley Phosphate Road,Effective beginning 1-4-15,Outbound,horizontal
88,1237,0,20150104,20170101,0,0,0,0,0,1,0,Upper Dorchester-Ashley Phosphate Road,Effective beginning 1-4-15,Outbound,horizontal
89,1237,0,20150104,20170101,1,1,1,1,1,0,0,Upper Dorchester-Ashley Phosphate Road,Effective beginning 1-4-15,Outbound,horizontal
90,1237,1,20150104,20170101,0,0,0,0,0,0,1,Upper Dorchester-Ashley Phosphate Road,Effective beginning 1-4-15,Inbound,horizontal
91,1237,1,20150104,20170101,0,0,0,0,0,1,0,Upper Dorchester-Ashley Phosphate Road,Effective beginning 1-4-15,Inbound,horizontal
92,1237,1,20150104,20170101,1,1,1,1,1,0,0,Upper Dorchester-Ashley Phosphate Road,Effective beginning 1-4-15,Inbound,horizontal
93,1315,0,20150503,20170101,0,0,0,0,0,0,1,XP4-NASH Express,"Beginning effective May 3, 2015",Northbound,horizontal
94,1315,0,20150503,20170101,1,1,1,1,1,1,0,XP4-NASH Express,"Beginning effective May 3, 2015",Northbound,horizontal
95,1315,1,20150503,20170101,0,0,0,0,0,0,1,XP4-NASH Express,"Beginning effective May 3, 2015",Southbound,horizontal
96,1315,1,20150503,20170101,1,1,1,1,1,1,0,XP4-NASH Express,"Beginning effective May 3, 2015",Southbound,horizontal
